trial,k,members,weights,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
55,8,"A13,A6,B3,D4,E10,E9,F13,I6","0.2175,0.2644,0.0262,0.0626,0.1043,0.0646,0.0206,0.2399",0.425377991340296,0.2568593111500292,0.6438995913601868,5.906012842965557,19979,13704
239,9,"A13,A5,B3,B6,C8,D14,E10,E6,F1","0.2208,0.0596,0.0161,0.1411,0.1108,0.1327,0.0252,0.1667,0.1269",0.4253504355439568,0.25634851138353765,0.6448482194979568,5.904991243432574,19979,13704
199,6,"B3,B6,C9,D4,E10,F13","0.2730,0.0220,0.2023,0.3652,0.1311,0.0063",0.4253496162212756,0.25605662580268534,0.6449941622883829,5.9163018096906015,19979,13704
378,5,"A11,B1,C6,E4,F1","0.1817,0.1605,0.1553,0.3291,0.1734",0.4253343120190742,0.2555458260361938,0.646015761821366,5.912142440163456,19979,13704
49,7,"A1,B3,C11,F13,F2,F8,I6","0.0524,0.0344,0.2584,0.1529,0.1272,0.2270,0.1477",0.42533024246714846,0.2548161120840631,0.6467454757734968,5.897475189725627,19979,13704
95,8,"A13,B10,B3,E3,E7,F2,I1,I3","0.1524,0.0025,0.0613,0.0662,0.2473,0.1931,0.2444,0.0328",0.4253265391186925,0.2565674255691769,0.6460887332165791,5.9017805020431995,19979,13704
485,9,"A1,A11,B3,B6,C8,D14,D4,E10,F13","0.0006,0.0577,0.2591,0.0338,0.0824,0.1237,0.1908,0.0934,0.1582",0.42530647971876034,0.25634851138353765,0.6446293053123175,5.915936952714536,19979,13704
450,6,"B1,B10,C11,E3,E9,F1","0.3189,0.0064,0.2411,0.0849,0.2711,0.0776",0.4253016543805814,0.2555458260361938,0.6458698190309399,5.917907180385289,19979,13704
67,9,"A2,B1,B3,B6,B9,C8,C9,E3,I3","0.0558,0.1271,0.0404,0.0515,0.0775,0.0274,0.3906,0.0343,0.1953",0.4252922595377855,0.2565674255691769,0.6439725627553999,5.909077641564506,19979,13704
473,8,"A13,A2,A6,B10,E3,E9,F2,I3","0.1637,0.0397,0.2991,0.2701,0.0328,0.0853,0.0521,0.0573",0.42529124348867,0.2564214827787507,0.6465265615878576,5.913966725043783,19979,13704
187,9,"A6,B1,B10,B3,C6,C9,D14,F1,I3","0.0521,0.2107,0.0504,0.0403,0.0676,0.1609,0.1172,0.1456,0.1552",0.42527376590364174,0.2551079976649154,0.6457238762405137,5.911704611792177,19979,13704
326,9,"A2,B1,B9,C11,D11,D4,E7,F8,I6","0.0650,0.0216,0.0340,0.3014,0.0591,0.3035,0.0365,0.1094,0.0696",0.42526049350846773,0.25401342673671923,0.6465995329830706,5.901123759486281,19979,13704
339,5,"B3,C9,D11,E7,F8","0.3185,0.2131,0.1617,0.2060,0.1006",0.4252544313714798,0.2553998832457677,0.6449211908931699,5.912069468768243,19979,13704
136,8,"A11,A6,B1,B10,C6,E1,E7,F8","0.0054,0.0182,0.0803,0.1341,0.1274,0.0925,0.3956,0.1464",0.4252532832650017,0.25503502626970226,0.6460887332165791,5.907107413893754,19979,13704
139,9,"B10,B3,B6,C8,E3,E6,E9,F1,I6","0.0507,0.0543,0.1467,0.2554,0.1258,0.1536,0.1015,0.0924,0.0195",0.4252530338978016,0.2561295971978984,0.646015761821366,5.894264448336252,19979,13704
107,8,"B6,B7,C6,C9,E10,E4,F13,H2","0.2259,0.2449,0.0489,0.0698,0.2528,0.0269,0.0927,0.0381",0.42524518196797323,0.2548161120840631,0.6439725627553999,5.906304728546409,19979,13704
45,10,"A1,B1,B7,B9,C6,C8,C9,E7,F13,H2","0.0107,0.0490,0.0449,0.1384,0.2807,0.2109,0.0950,0.0283,0.1164,0.0256",0.4252426533638746,0.25737011091652073,0.6428779918272037,5.917396380618797,19979,13704
316,8,"A5,B7,C11,C9,D4,E6,E7,E9","0.2204,0.1388,0.1358,0.0316,0.0677,0.1129,0.2311,0.0618",0.4252274944976404,0.2551079976649154,0.6444103911266783,5.913309982486865,19979,13704
367,5,"A6,B1,B3,I1,I3","0.1710,0.1169,0.1090,0.5045,0.0986",0.4252219535433746,0.2578809106830123,0.6425131348511384,5.916812609457093,19979,13704
488,9,"A13,B9,C9,E3,E4,E7,H2,I1,I6","0.0852,0.0500,0.1549,0.0579,0.2423,0.1877,0.0772,0.0056,0.1392",0.4252088414318773,0.2558377116170461,0.6448482194979568,5.9034588441331,19979,13704
301,8,"A13,B3,E1,E3,E7,F13,H2,I1","0.1126,0.1183,0.1502,0.1263,0.1391,0.0301,0.1175,0.2059",0.42518689432619894,0.2564214827787507,0.6441185055458261,5.900248102743724,19979,13704
241,5,"A5,B3,C8,C9,F8","0.2155,0.2118,0.2695,0.1527,0.1506",0.4251670971239314,0.2559836544074723,0.6440455341506129,5.9142586106246355,19979,13704
447,4,"B1,B7,E4,F13","0.0313,0.4449,0.3826,0.1412",0.42516052559310386,0.25766199649737304,0.6427320490367776,5.923744892002335,19979,13704
310,5,"B1,E1,E10,E4,E6","0.3660,0.0641,0.2399,0.2791,0.0510",0.42513286532943695,0.25445125510799765,0.6463076474022184,5.912653239929948,19979,13704
499,8,"A1,B10,D14,D4,E3,E4,E6,F2","0.0190,0.0768,0.0262,0.1410,0.3909,0.1406,0.0495,0.1560",0.4251276890535181,0.2521891418563923,0.6467454757734968,5.922139521307647,19979,13704
289,4,"A13,B10,F13,I1","0.4403,0.0504,0.3333,0.1760",0.42512564789025364,0.25503502626970226,0.6460887332165791,5.927466433158202,19979,13704
65,9,"A11,A13,B1,B10,B7,C6,E4,E7,F13","0.3595,0.2625,0.0052,0.1159,0.0456,0.0421,0.0025,0.0850,0.0817",0.42512001489933077,0.2553998832457677,0.6441185055458261,5.908712784588442,19979,13704
119,8,"B10,C11,C9,D14,E1,E9,F13,I3","0.0870,0.0141,0.2606,0.1350,0.3107,0.1302,0.0502,0.0122",0.42510352125434936,0.2564214827787507,0.6438995913601868,5.907107413893754,19979,13704
3,6,"A13,B1,B10,D11,D4,H2","0.1277,0.1279,0.3024,0.1112,0.2082,0.1226",0.4250896949076916,0.25445125510799765,0.6438995913601868,5.912069468768243,19979,13704
344,6,"A13,A5,B1,B10,B6,I3","0.1727,0.2380,0.0689,0.1670,0.0191,0.3343",0.4250805558974339,0.2548161120840631,0.6451401050788091,5.920753064798599,19979,13704
189,5,"B1,B3,B9,C6,I3","0.0966,0.3677,0.2024,0.0674,0.2658",0.42507093920214567,0.25445125510799765,0.6441185055458261,5.9173234092235845,19979,13704
281,9,"A1,A6,B10,B7,C9,E4,E6,E7,F2","0.0068,0.0283,0.0612,0.1952,0.1082,0.0416,0.1498,0.2868,0.1222",0.42506029481871604,0.25401342673671923,0.6449211908931699,5.914550496205488,19979,13704
52,10,"A1,A11,B10,B7,C6,E3,E9,F8,H2,I3","0.0445,0.1678,0.0537,0.2325,0.0604,0.0134,0.0500,0.0544,0.0204,0.3029",0.4250294257002753,0.25503502626970226,0.6435347343841215,5.9187828371278455,19979,13704
