ensemble_id,trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked,method,weights
W3_random_pool_weights_004,262,6.0,"A1,A13,B10,C9,E4,F8",0.425701356668437,0.2546701692936369,0.6457238762405137,5.91199649737303,19979,13704,W3_random_pool_and_weights,"0.1230,0.2816,0.1584,0.2405,0.0537,0.1429"
W3_random_pool_weights_005,79,8.0,"B10,B3,B7,C9,E10,E4,E6,H2",0.42566413791993557,0.25459719789842383,0.6473292469352014,5.914550496205488,19979,13704,W3_random_pool_and_weights,"0.0664,0.0606,0.0989,0.0721,0.0293,0.1189,0.2680,0.2858"
W3_random_pool_weights_006,491,6.0,"B10,C11,C8,D4,E4,F13",0.42565342626827785,0.2548161120840631,0.6474751897256276,5.905137186223,19979,13704,W3_random_pool_and_weights,"0.0613,0.1941,0.1391,0.2054,0.1326,0.2676"
W3_random_pool_weights_007,227,10.0,"A1,A11,A5,B1,D14,E4,E7,E9,H2,I3",0.4256213136497478,0.2562025685931115,0.6449941622883829,5.90535610040864,19979,13704,W3_random_pool_and_weights,"0.0422,0.0252,0.0695,0.0127,0.2383,0.1049,0.0255,0.1842,0.1049,0.1926"
W3_random_pool_weights_008,5,10.0,"A13,B10,B6,C6,E10,E7,H2,I1,I3,I6",0.4256176694385232,0.25693228254524225,0.6443374197314653,5.9042615294804435,19979,13704,W3_random_pool_and_weights,"0.1100,0.1629,0.0074,0.1209,0.1943,0.2547,0.0340,0.0019,0.0633,0.0507"
W3_random_pool_weights_009,399,9.0,"A5,B1,B10,C6,D14,D4,E9,F2,I6",0.4255349793584607,0.25459719789842383,0.6465995329830706,5.91199649737303,19979,13704,W3_random_pool_and_weights,"0.0704,0.1410,0.0564,0.1727,0.0817,0.1901,0.1490,0.0679,0.0709"
W3_random_pool_weights_010,382,6.0,"A6,B10,B3,C9,E6,I6",0.4255248426974267,0.2558377116170461,0.6455049620548745,5.926736719206072,19979,13704,W3_random_pool_and_weights,"0.0260,0.1058,0.0719,0.1089,0.3925,0.2949"
W3_random_pool_weights_011,494,9.0,"A6,B10,B9,C8,C9,D14,E10,E3,I6",0.4255244952867758,0.2537215411558669,0.646964389959136,5.913747810858144,19979,13704,W3_random_pool_and_weights,"0.0735,0.0453,0.1444,0.1479,0.0704,0.1176,0.1044,0.0331,0.2634"
W3_random_pool_weights_012,371,6.0,"A1,B1,B3,C8,E9,H2",0.42549656008796627,0.2555458260361938,0.6434617629889083,5.921555750145942,19979,13704,W3_random_pool_and_weights,"0.0194,0.3429,0.2691,0.1787,0.0480,0.1420"
W3_random_pool_weights_013,478,9.0,"A6,B10,B3,D11,D14,E3,E4,E9,I1",0.4254941484947799,0.2561295971978984,0.6454319906596614,5.906085814360771,19979,13704,W3_random_pool_and_weights,"0.0913,0.0493,0.1747,0.1980,0.0977,0.1939,0.1243,0.0256,0.0452"
W3_random_pool_weights_014,149,7.0,"A11,A13,A5,B1,B3,E7,I3",0.42548988087424566,0.2570052539404553,0.6434617629889083,5.919950379451255,19979,13704,W3_random_pool_and_weights,"0.1822,0.0509,0.0132,0.1297,0.3029,0.1502,0.1708"
W3_random_pool_weights_015,254,10.0,"A11,A13,B1,B3,B7,C8,C9,E4,I1,I6",0.42546865601229666,0.2559836544074723,0.6447752481027437,5.9035318155283125,19979,13704,W3_random_pool_and_weights,"0.3334,0.0353,0.0203,0.0041,0.2634,0.0220,0.1320,0.0157,0.0453,0.1285"
W3_random_pool_weights_016,202,10.0,"A13,A2,B7,C6,D14,E1,E3,E4,F1,I3",0.42546405612257865,0.25634851138353765,0.6449211908931699,5.90915061295972,19979,13704,W3_random_pool_and_weights,"0.2376,0.0060,0.1027,0.0238,0.0829,0.0441,0.0544,0.0063,0.0263,0.4161"
W3_random_pool_weights_017,146,10.0,"A1,A6,B1,B3,B7,B9,C11,E4,E9,I3",0.4254495953642077,0.2549620548744892,0.6449941622883829,5.906961471103328,19979,13704,W3_random_pool_and_weights,"0.2071,0.0325,0.0415,0.0801,0.0052,0.1153,0.0639,0.3355,0.0529,0.0661"
W3_random_pool_weights_018,78,3.0,"A13,B10,B3",0.4254477096245237,0.25605662580268534,0.6447022767075307,5.9306771745475775,19979,13704,W3_random_pool_and_weights,"0.4764,0.0865,0.4371"
W3_random_pool_weights_019,155,9.0,"A11,B10,B9,C8,C9,E4,E6,F1,F8",0.4254380037017062,0.2553998832457677,0.6449941622883829,5.911339754816112,19979,13704,W3_random_pool_and_weights,"0.1065,0.1970,0.0488,0.1643,0.0312,0.0632,0.0994,0.2089,0.0807"
