trial,weights,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
432,"0.0592,0.0663,0.2031,0.0853,0.1991,0.1457,0.0226,0.1047,0.0671,0.0470",0.42527131464625073,0.2551079976649154,0.6452860478692353,5.907764156450671,19979,13704
496,"0.1606,0.2395,0.0667,0.0131,0.0695,0.0865,0.0330,0.1616,0.0826,0.0870",0.42526712592860866,0.2561295971978984,0.6436806771745476,5.912215411558669,19979,13704
441,"0.0659,0.1567,0.2367,0.0279,0.2501,0.0155,0.0520,0.0111,0.1338,0.0503",0.4252638282401488,0.25474314068884996,0.646015761821366,5.91009924109749,19979,13704
82,"0.1023,0.1545,0.3177,0.0410,0.1232,0.0687,0.0764,0.0886,0.0058,0.0220",0.4252618160935748,0.2553998832457677,0.6448482194979568,5.908639813193228,19979,13704
42,"0.2932,0.3662,0.0188,0.0009,0.0472,0.0659,0.0756,0.0276,0.0707,0.0339",0.4252485619927181,0.2562755399883246,0.6455049620548745,5.913601868067717,19979,13704
290,"0.0175,0.0315,0.1004,0.1057,0.1133,0.0285,0.0986,0.1965,0.2939,0.0142",0.4252482512265292,0.2552539404553415,0.6449941622883829,5.908712784588442,19979,13704
173,"0.0428,0.1356,0.0036,0.0951,0.0092,0.1476,0.1471,0.2130,0.0407,0.1653",0.4252472104189092,0.25569176882662,0.6444103911266783,5.915936952714536,19979,13704
490,"0.1641,0.0401,0.1713,0.1054,0.0662,0.2013,0.0703,0.0074,0.0428,0.1311",0.42524519780431175,0.2558377116170461,0.6436806771745476,5.906742556917688,19979,13704
407,"0.1903,0.1677,0.0951,0.2185,0.0155,0.0038,0.1824,0.0781,0.0065,0.0421",0.4252449954436147,0.25576474022183304,0.6444833625218914,5.916666666666667,19979,13704
257,"0.1045,0.0116,0.1614,0.0014,0.2302,0.0104,0.1575,0.0961,0.2053,0.0217",0.4252414208437357,0.25503502626970226,0.6455049620548745,5.907618213660245,19979,13704
476,"0.5121,0.0148,0.0135,0.0152,0.0394,0.0583,0.1022,0.0818,0.1209,0.0420",0.42523988270979907,0.25707822533566843,0.6435347343841215,5.920023350846468,19979,13704
19,"0.1601,0.0831,0.1609,0.2002,0.0004,0.1280,0.1434,0.0279,0.0190,0.0768",0.42523154906542293,0.2564214827787507,0.6437536485697607,5.915936952714536,19979,13704
410,"0.0768,0.0348,0.1394,0.0000,0.1306,0.3645,0.0956,0.0729,0.0747,0.0107",0.4252288851728385,0.25634851138353765,0.6440455341506129,5.908712784588442,19979,13704
68,"0.0723,0.0370,0.0166,0.0845,0.3125,0.0678,0.1709,0.0690,0.1402,0.0293",0.42522786127081097,0.2551079976649154,0.6446293053123175,5.920169293636894,19979,13704
56,"0.0939,0.0201,0.0497,0.0689,0.2587,0.1857,0.1707,0.0587,0.0351,0.0585",0.42522335518087573,0.25532691185055456,0.6444833625218914,5.920826036193812,19979,13704
371,"0.2091,0.1073,0.0453,0.0834,0.0223,0.0720,0.1481,0.0552,0.1962,0.0613",0.42522038378310806,0.2562025685931115,0.6454319906596614,5.90915061295972,19979,13704
60,"0.0375,0.0636,0.0313,0.0650,0.4070,0.0511,0.1875,0.0978,0.0436,0.0157",0.4252181291753103,0.25415936952714535,0.6457238762405137,5.9305312317571515,19979,13704
272,"0.1060,0.1099,0.0243,0.0069,0.0013,0.2382,0.0016,0.2397,0.0673,0.2048",0.4252068329377836,0.2568593111500292,0.6438995913601868,5.912872154115587,19979,13704
165,"0.2341,0.1303,0.0283,0.2334,0.0202,0.0407,0.0725,0.0197,0.2037,0.0170",0.4252046998002619,0.2564214827787507,0.6445563339171045,5.91082895504962,19979,13704
184,"0.0075,0.1229,0.2856,0.0423,0.3254,0.0622,0.0153,0.1040,0.0101,0.0249",0.4252039572672701,0.25386748394629305,0.6457238762405137,5.919658493870402,19979,13704
166,"0.1465,0.1616,0.0256,0.0618,0.0560,0.0960,0.2054,0.0024,0.2341,0.0106",0.42520255166248316,0.25605662580268534,0.645942790426153,5.906888499708114,19979,13704
29,"0.0302,0.0243,0.0093,0.2244,0.1543,0.0990,0.0324,0.2317,0.1727,0.0218",0.4252007908422532,0.2559106830122592,0.6440455341506129,5.916228838295388,19979,13704
