trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
234,9,"A13,B1,B10,B6,B9,D4,E3,F1,H2",0.4251227546872767,0.2540863981319323,0.6447752481027437,5.900831873905429,19979,13704
307,4,"B6,D11,E4,I6",0.4251202464960957,0.2546701692936369,0.6456509048453006,5.905866900175131,19979,13704
210,7,"A11,A13,D4,E1,E9,F8,I6",0.42511963108839246,0.2559106830122592,0.6452130764740222,5.910610040863982,19979,13704
156,7,"D14,D4,E4,E9,F13,F2,I1",0.42511198203658707,0.25664039696438995,0.6452860478692353,5.907764156450671,19979,13704
214,10,"A5,B9,C11,C8,D11,E10,E4,E6,E7,F8",0.42510085668537817,0.2540863981319323,0.6472562755399883,5.910610040863982,19979,13704
207,8,"A11,A13,B7,B9,C9,D4,E10,I3",0.42509677778984545,0.2562755399883246,0.6433887915936952,5.911704611792177,19979,13704
404,9,"A1,A11,A13,B10,B9,C8,D4,F1,F13",0.4250918132914429,0.2543782837127846,0.6457968476357268,5.911120840630473,19979,13704
151,9,"A1,A5,B1,B7,C11,E7,E9,I3,I6",0.4250916233832665,0.2552539404553415,0.6444103911266783,5.905137186223,19979,13704
169,8,"A13,A5,B6,C9,E7,F1,F8,I1",0.42508714627523114,0.2553998832457677,0.6445563339171045,5.901853473438412,19979,13704
469,9,"A2,B1,B10,B6,C8,E1,F2,F8,I6",0.4250849615671733,0.25386748394629305,0.6453590192644484,5.89659953298307,19979,13704
324,7,"A11,A5,A6,B10,B7,E4,E7",0.4250828194127339,0.25379451255108,0.6460887332165791,5.919658493870402,19979,13704
257,4,"A2,C6,C9,E4",0.4250687035521194,0.2578809106830123,0.6437536485697607,5.903021015761821,19979,13704
75,8,"B7,B9,C6,D14,D4,E3,E7,F1",0.42506512208702,0.25386748394629305,0.645942790426153,5.9035318155283125,19979,13704
238,10,"A1,B3,C6,C8,E3,E4,F8,H2,I1,I6",0.4250636737249694,0.2562025685931115,0.6441914769410391,5.894848219497957,19979,13704
120,8,"A6,B1,B9,C6,C9,D11,F13,F2",0.4250627906489303,0.2559106830122592,0.6444103911266783,5.912215411558669,19979,13704
277,9,"A2,A5,B7,D11,E1,E4,F2,F8,I1",0.4250614944131904,0.2543782837127846,0.6456509048453006,5.908785755983654,19979,13704
8,9,"A11,B3,B6,C11,C6,C8,F2,F8,H2",0.4250602123514966,0.25445125510799765,0.6455779334500875,5.897475189725627,19979,13704
23,9,"A11,A2,A6,B3,D11,D14,D4,E3,I3",0.4250534187674131,0.2564214827787507,0.6440455341506129,5.903312901342674,19979,13704
115,5,"A1,A13,B3,E7,E9",0.42505179571363816,0.25547285464098074,0.6436077057793345,5.911558669001751,19979,13704
60,7,"A2,B3,B9,C6,D4,I1,I3",0.4250510291597802,0.25561879743140686,0.6441914769410391,5.905939871570345,19979,13704
488,9,"A1,A11,A6,B10,D11,D14,H2,I1,I3",0.4250456110963428,0.25532691185055456,0.6455049620548745,5.912215411558669,19979,13704
492,6,"A11,B10,B9,E4,E9,F13",0.425041711210177,0.25532691185055456,0.6464535901926445,5.918928779918272,19979,13704
495,9,"A2,B6,B7,B9,C6,E4,E7,F1,H2",0.4250403102795361,0.2551079976649154,0.6436806771745476,5.90061295971979,19979,13704
393,10,"A1,A13,B6,B7,B9,C6,C8,D11,D4,I3",0.42503677104750026,0.2555458260361938,0.6425861062463515,5.899956217162872,19979,13704
117,6,"A2,A6,B10,E3,I1,I6",0.42503350734794243,0.25605662580268534,0.6465995329830706,5.901269702276707,19979,13704
448,10,"A1,A6,B3,B6,C9,D11,D4,E10,E7,I3",0.425031582085055,0.2559106830122592,0.6445563339171045,5.907107413893754,19979,13704
144,4,"B1,B9,E7,E9",0.4250265542805729,0.25569176882662,0.6439725627553999,5.9161558669001755,19979,13704
121,6,"A11,B1,B6,C6,C8,D4",0.4250214974542061,0.2559836544074723,0.643096906012843,5.898569760653824,19979,13704
135,7,"A1,A13,B9,E10,E3,E4,I3",0.4250189084114028,0.2559836544074723,0.6439725627553999,5.909588441330998,19979,13704
465,9,"A1,A11,A2,A6,B10,C6,E6,F13,I1",0.4250154242081,0.2555458260361938,0.646015761821366,5.907399299474606,19979,13704
278,10,"A11,A13,A2,A5,B9,C11,D11,E7,F13,F8",0.4250101252789346,0.25547285464098074,0.6456509048453006,5.912215411558669,19979,13704
47,8,"A2,A5,A6,B1,E3,E9,F1,F13",0.425009272200448,0.2559106830122592,0.6455779334500875,5.9152802101576185,19979,13704
222,10,"A1,A11,B10,C11,C9,D11,D4,E3,E4,E7",0.4250070582686874,0.25569176882662,0.6438266199649737,5.90893169877408,19979,13704
179,5,"A1,A5,B3,D4,F13",0.425004445959633,0.2568593111500292,0.6425131348511384,5.913820782253357,19979,13704
421,7,"A11,A6,B3,E3,F2,F8,I6",0.42500405554417686,0.2543782837127846,0.6466725043782837,5.909953298307063,19979,13704
148,5,"D4,E1,E7,F1,I3",0.4250033825717365,0.25547285464098074,0.645067133683596,5.915499124343257,19979,13704
5,8,"A5,B7,B9,D14,E3,E6,F1,H2",0.4250024324819332,0.25445125510799765,0.6453590192644484,5.914696438995914,19979,13704
26,10,"A1,A11,A6,B10,B7,D11,E10,E6,F1,I6",0.42500100637961546,0.25459719789842383,0.6464535901926445,5.920096322241681,19979,13704
4,8,"A11,B6,B7,B9,E10,E4,E9,H2",0.42499799588907644,0.2562025685931115,0.6441914769410391,5.909661412726211,19979,13704
453,7,"A13,B1,E4,E6,E9,I1,I3",0.42499333415931734,0.25576474022183304,0.6444833625218914,5.902875072971395,19979,13704
