test_id,n_members,members_added,weights_added,v6_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+all_above_median_equal_0.0500,5,lg_0_2_15+regularized_bal15+CP_regularized+DS_regularized,"0.0500,0.0500,0.0500,0.0500",0.8,0.40883667681897967,0.24024024024024024,0.6236236236236237,6.180573430573431,-0.00012332318102031836,0.004826676818979692
v6+low_lr_regularized_bal15@w=0.05,2,low_lr_regularized_bal15,0.0500,0.95,0.40880887264621657,0.24006149006149005,0.6238023738023738,6.183504933504934,-0.00015112735378342013,0.00479887264621659
v6+DS_regularized@w=0.20,2,DS_regularized,0.2000,0.8,0.40878114613578265,0.23998998998999,0.6234448734448734,6.1774274274274275,-0.00017885386421734317,0.004771146135782667
v6+lg_0_2_15@w=0.15,2,lg_0_2_15,0.1500,0.85,0.40876218060404157,0.23998998998999,0.6231231231231231,6.18997568997569,-0.00019781939595842069,0.004752180604041589
v6+lg_0_3_15@w=0.10,2,lg_0_3_15,0.1000,0.9,0.4087589960364448,0.24031174031174032,0.6238023738023738,6.1838624338624335,-0.000201003963555213,0.004748996036444797
v6+regularized_bal15@w=0.05,2,regularized_bal15,0.0500,0.95,0.4087396579288437,0.2399184899184899,0.6237666237666237,6.183326183326184,-0.00022034207115628757,0.004729657928843722
v6+regularized_bal15@w=0.10,2,regularized_bal15,0.1000,0.9,0.40871524820756205,0.2398827398827399,0.6242313742313742,6.183612183612183,-0.0002447517924379361,0.004705248207562074
v6+lg_0_1_10@w=0.10,2,lg_0_1_10,0.1000,0.9,0.4086438138673439,0.24034749034749034,0.6237308737308738,6.186078936078936,-0.0003161861326561044,0.0046338138673439055
v6+ipw_clip3_bal15@w=0.10,2,ipw_clip3_bal15,0.1000,0.9,0.4086415161692397,0.24016874016874018,0.6238738738738738,6.183183183183183,-0.0003184838307602744,0.0046315161692397355
v6+lg_0_1_20@w=0.10,2,lg_0_1_20,0.1000,0.9,0.40862854113955205,0.24006149006149005,0.622944372944373,6.185149435149435,-0.0003314588604479418,0.004618541139552068
v6+ipw_clip3_bal15@w=0.15,2,ipw_clip3_bal15,0.1500,0.85,0.40860593607798446,0.2402044902044902,0.6235878735878736,6.184291434291434,-0.00035406392201553505,0.004595936077984475
v6+lg_0_1_20@w=0.15,2,lg_0_1_20,0.1500,0.85,0.4085813944481524,0.23998998998999,0.622980122980123,6.1870441870441875,-0.0003786055518475995,0.0045713944481524105
v6+regularized_bal15@w=0.15,2,regularized_bal15,0.1500,0.85,0.4085009234100199,0.23977548977548976,0.6231231231231231,6.184398684398684,-0.0004590765899800675,0.0044909234100199424
v6+lg_0_1_20@w=0.20,2,lg_0_1_20,0.2000,0.8,0.408422473374798,0.23973973973973975,0.6231946231946232,6.192263692263692,-0.0005375266252020117,0.004412473374797998
v6+regularized_bal15@w=0.20,2,regularized_bal15,0.2000,0.8,0.4083997633531251,0.23977548977548976,0.6230516230516231,6.185649935649936,-0.0005602366468748787,0.004389763353125131
v6+lg_0_3_15@w=0.15,2,lg_0_3_15,0.1500,0.85,0.40839844998623337,0.23984698984698985,0.6233018733018733,6.188366938366938,-0.0005615500137666207,0.004388449986233389
v6+lg_0_2_15@w=0.20,2,lg_0_2_15,0.2000,0.8,0.4083938800501199,0.23945373945373946,0.6226226226226226,6.193943943943944,-0.0005661199498800951,0.004383880050119915
v6+low_lr_regularized_bal15@w=0.10,2,low_lr_regularized_bal15,0.1000,0.9,0.40834816596981355,0.23945373945373946,0.6237666237666237,6.1852209352209355,-0.0006118340301864422,0.004338165969813568
v6+ipw_clip3_bal15@w=0.20,2,ipw_clip3_bal15,0.2000,0.8,0.40831579665897444,0.2400972400972401,0.6234448734448734,6.1877591877591875,-0.000644203341025551,0.004305796658974459
v6+lg_0_1_10@w=0.15,2,lg_0_1_10,0.1500,0.85,0.40825630502733834,0.23973973973973975,0.6233018733018733,6.187651937651937,-0.0007036949726616504,0.00424630502733836
v6+lg_0_3_15@w=0.20,2,lg_0_3_15,0.2000,0.8,0.4082286275889983,0.23920348920348922,0.6231946231946232,6.18976118976119,-0.000731372411001685,0.004218627588998325
v6+low_lr_regularized_bal15@w=0.15,2,low_lr_regularized_bal15,0.1500,0.85,0.4082120236947672,0.23948948948948948,0.6235521235521235,6.184648934648934,-0.000747976305232767,0.004202023694767243
v6+lg_0_1_10@w=0.20,2,lg_0_1_10,0.2000,0.8,0.40813856989124647,0.23938223938223938,0.6232303732303732,6.190726440726441,-0.0008214301087535181,0.004128569891246492
v6+low_lr_regularized_bal15@w=0.20,2,low_lr_regularized_bal15,0.2000,0.8,0.40799721744638456,0.23945373945373946,0.6235521235521235,6.186043186043186,-0.0009627825536154266,0.003987217446384583
new_models_only_above_median,4,lg_0_2_15+regularized_bal15+CP_regularized+DS_regularized,equal,0.0,0.40770033910366665,0.2398827398827399,0.6214428714428715,6.197590447590447,-0.0012596608963333367,0.0036903391036666733
