test_id,phase,n_members,members_added,weights_added,v6_weight,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.050,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.0500,0.0500",0.9,0.1,0.4088056191116963,0.2400972400972401,0.6241598741598742,6.182325182325182,-0.00015438088830371788,0.004795619111696292
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.100,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.0500,0.1000",0.85,0.15000000000000002,0.4086116725239173,0.2397039897039897,0.6240526240526241,6.184934934934935,-0.0003483274760827104,0.0046016725239172995
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.150,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.0500,0.1500",0.8,0.2,0.40843557598388514,0.23956098956098956,0.6244458744458744,6.184219934219934,-0.000524424016114855,0.004425575983885155
v6+query_difficulty_index@0.100+is_long_window_x_top_quartile_price@0.050,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.1000,0.0500",0.85,0.15000000000000002,0.4087550693300974,0.24038324038324038,0.624016874016874,6.182611182611183,-0.00020493066990256992,0.00474506933009744
v6+query_difficulty_index@0.100+is_long_window_x_top_quartile_price@0.100,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.1000,0.1000",0.8,0.2,0.40831675378023835,0.23984698984698985,0.6238381238381239,6.184827684827685,-0.0006432462197616395,0.00430675378023837
v6+query_difficulty_index@0.100+is_long_window_x_top_quartile_price@0.150,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.1000,0.1500",0.75,0.25,0.408333222364157,0.23948948948948948,0.624016874016874,6.185721435721436,-0.0006267776358430122,0.004323222364156998
v6+query_difficulty_index@0.150+is_long_window_x_top_quartile_price@0.050,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.1500,0.0500",0.8,0.2,0.40847225581241464,0.24002574002574004,0.623945373945374,6.186901186901187,-0.0004877441875853483,0.004462255812414662
v6+query_difficulty_index@0.150+is_long_window_x_top_quartile_price@0.100,A2_top2,3,query_difficulty_index+is_long_window_x_top_quartile_price,"0.1500,0.1000",0.75,0.25,0.4084407203215752,0.2399184899184899,0.6239096239096239,6.187187187187187,-0.0005192796784247999,0.00443072032157521
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.050+brand_x_domestic@0.050,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.0500,0.0500",0.85,0.15000000000000002,0.40859277135788274,0.23984698984698985,0.6238738738738738,6.185792935792936,-0.0003672286421172455,0.0045827713578827645
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.050+brand_x_domestic@0.075,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.0500,0.0750",0.825,0.175,0.4083007051984985,0.23963248963248962,0.6234091234091234,6.185685685685685,-0.0006592948015015088,0.004290705198498501
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.050+brand_x_domestic@0.100,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.0500,0.1000",0.8,0.2,0.4081360288226832,0.23923923923923923,0.6232661232661233,6.185399685399686,-0.0008239711773168068,0.004126028822683203
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.075+brand_x_domestic@0.050,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.0750,0.0500",0.825,0.175,0.4084900076031537,0.2398827398827399,0.6238738738738738,6.186114686114686,-0.0004699923968463082,0.004480007603153702
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.075+brand_x_domestic@0.075,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.0750,0.0750",0.8,0.2,0.4080680658565099,0.23920348920348922,0.6233018733018733,6.186615186615187,-0.0008919341434900918,0.004058065856509918
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.075+brand_x_domestic@0.100,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.0750,0.1000",0.775,0.225,0.4081398640352058,0.23945373945373946,0.6231946231946232,6.185649935649936,-0.0008201359647941886,0.004129864035205821
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.100+brand_x_domestic@0.050,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.1000,0.0500",0.8,0.2,0.40823487684531456,0.23956098956098956,0.6237666237666237,6.185649935649936,-0.0007251231546854253,0.004224876845314585
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.100+brand_x_domestic@0.075,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.1000,0.0750",0.775,0.225,0.40825324133564156,0.23941798941798942,0.6235163735163736,6.186758186758187,-0.0007067586643584312,0.004243241335641579
v6+query_difficulty_index@0.050+is_long_window_x_top_quartile_price@0.100+brand_x_domestic@0.100,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0500,0.1000,0.1000",0.75,0.25,0.40813667074242155,0.23952523952523952,0.622944372944373,6.186078936078936,-0.0008233292575784423,0.004126670742421568
v6+query_difficulty_index@0.075+is_long_window_x_top_quartile_price@0.050+brand_x_domestic@0.050,A3_top3,4,query_difficulty_index+is_long_window_x_top_quartile_price+brand_x_domestic,"0.0750,0.0500,0.0500",0.825,0.175,0.40848701899824347,0.23977548977548976,0.623945373945374,6.184613184613185,-0.0004729810017565228,0.004477018998243487
