config_name,objective,boosting,label_gain,seed,num_leaves,learning_rate,best_iter,n_features,ndcg5,recall1,recall5,mean_booked_rank
D8,lambdarank,gbdt,"0,2,15",456,400,0.03,380.0,72,0.4175554023746609,0.2496351430239346,0.6361646234676007,6.03582895504962
D9,lambdarank,gbdt,"0,2,15",456,400,0.03,416.0,139,0.4189235504431869,0.2516783420899007,0.6362375948628137,5.985916520723876
D10,lambdarank,gbdt,"0,2,15",456,400,0.03,486.0,138,0.4205621625224238,0.2528458844133099,0.6392294220665499,5.95920899007589
D11,lambdarank,gbdt,"0,2,15",456,400,0.03,514.0,140,0.4214466832259077,0.25189725627554,0.6407618213660246,5.97343841214244
D12,lambdarank,gbdt,"0,2,15",456,400,0.03,367.0,138,0.419328069214686,0.2486865148861646,0.6373321657910099,5.992265032107414
D13,lambdarank,gbdt,"0,2,15",456,400,0.03,484.0,80,0.3999875509363152,0.2374489200233508,0.6090192644483362,6.356903093987157
D14,lambdarank,gbdt,"0,2,15",456,400,0.03,409.0,135,0.4210687899112557,0.2524080560420315,0.6390834792761237,5.9710303561004086
E1,lambdarank,gbdt,"0,2,15",456,255,0.03,611.0,143,0.4220263276180668,0.2543782837127846,0.6409077641564507,5.959865732632808
E2,lambdarank,gbdt,"0,2,15",456,128,0.03,484.0,143,0.4208346655037956,0.2514594279042615,0.6389375364856976,5.973657326328079
E3,lambdarank,gbdt,"0,2,15",456,512,0.03,551.0,143,0.4218449069584134,0.2521161704611792,0.641272621132516,5.961398131932283
E4,lambdarank,gbdt,"0,2,15",456,400,0.03,518.0,143,0.4229054038189159,0.2547431406888499,0.6420753064798599,5.947241681260945
E5,lambdarank,gbdt,"0,2,15",456,400,0.03,277.0,143,0.4198331838688213,0.2509486281377699,0.6386456509048453,6.008975481611208
E6,lambdarank,gbdt,"0,2,15",456,400,0.03,439.0,143,0.4214036543147207,0.2528458844133099,0.6410537069468768,5.960814360770578
E7,lambdarank,gbdt,"0,2,15",456,400,0.02,821.0,143,0.4225068692440406,0.25379451255108,0.6410537069468768,5.939433741973146
E8,lambdarank,gbdt,"0,2,15",456,400,0.05,135.0,143,0.4188053512859919,0.2506567425569176,0.6341943957968477,6.053269118505546
E9,lambdarank,gbdt,"0,2,15",456,400,0.03,322.0,143,0.4210925706952336,0.2536485697606538,0.6386456509048453,5.972489784004671
E10,lambdarank,gbdt,"0,2,15",456,400,0.03,380.0,143,0.4210224847364751,0.2533566841798015,0.6403969643899592,5.97438704028021
F1,lambdarank,gbdt,"0,2,15",456,400,0.03,392.0,143,0.421036625366641,0.2524810274372446,0.6394483362521891,5.975773496789259
F2,lambdarank,gbdt,"0,2,15",456,400,0.03,439.0,143,0.4214036543147207,0.2528458844133099,0.6410537069468768,5.960814360770578
F3,lambdarank,gbdt,"0,2,15",456,400,0.03,408.0,143,0.4206877120628958,0.2524810274372446,0.6381348511383538,5.9810274372446
F4,lambdarank,gbdt,"0,2,15",456,400,0.03,362.0,143,0.4178841254706369,0.2502918855808523,0.6366754232340922,6.010143023934617
F5,lambdarank,gbdt,"0,2,15",456,400,0.03,349.0,143,0.4182810046397962,0.2486865148861646,0.6382078225335669,6.010288966725044
F6,lambdarank,gbdt,"0,2,15",456,400,0.03,369.0,143,0.4190322403319824,0.2515323992994746,0.6399591360186807,5.979495037945125
F7,lambdarank,gbdt,"0,2,15",456,400,0.03,149.0,143,0.3955045948981905,0.2238032691185055,0.6014302393461763,6.495402802101577
F8,lambdarank,gbdt,"0,2,15",456,400,0.03,437.0,143,0.4216600219154528,0.2510215995329831,0.64017805020432,5.979640980735551
F9,lambdarank,gbdt,"0,2,15",456,400,0.03,332.0,131,0.4203280643873113,0.2518242848803269,0.6392294220665499,5.988251605370695
F10,lambdarank,gbdt,"0,2,15",456,400,0.03,465.0,136,0.4202534097836601,0.2524080560420315,0.6357267950963222,5.985916520723876
F12,lambdarank,gbdt,"0,2,15",456,400,0.03,313.0,143,0.4196198200168831,0.2497081144191477,0.6359457092819615,6.00737011091652
F13,lambdarank,gbdt,"0,3,15",456,400,0.03,500.0,143,0.4225321567469929,0.2563485113835376,0.6422942206654991,5.968622300058377
F14,lambdarank,gbdt,"0,2,15",456,400,0.03,476.0,142,0.4192809455122522,0.2505107997664915,0.6356538237011091,6.020359019264449
H1,rank_xendcg,gbdt,,456,400,0.03,324.0,143,0.417660668127189,0.2472270869819031,0.6353619381202569,6.049182720373613
H2,lambdarank,dart,"0,2,15",456,400,0.03,,143,0.4212385081025689,0.2534296555750145,0.6379159369527145,5.96606830122592
H3,binary,gbdt,,456,400,0.03,739.0,143,0.4116387102961484,0.2400029188558085,0.6319322825452423,6.116024518388792
H4,binary,gbdt,,456,400,0.03,784.0,143,0.4132942015373793,0.2426298890834792,0.6303269118505546,6.089754816112084
H5,binary,gbdt,,456,400,0.03,784.0,143,0.4132942015373793,0.2426298890834792,0.6303269118505546,6.089754816112084
I1,lambdarank,gbdt,"0,2,15",456,63,0.03,1079.0,143,0.4212442476669977,0.2540134267367192,0.6376240513718622,5.951401050788091
