test_id,method,v6_weight,n_added,members_added,weights_added,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_overnight_best,grid
B_CB_skew2.0_v6=0.50,global_z,0.5,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1667,0.1667,0.0833,0.0833",0.5,0.4096655693669041,0.24084799084799086,0.6253038753038753,6.152581152581153,0.0007055693669041352,-0.00012443063309586222,B_aggressive_cb_skew
B_n3_v6=0.60,rank_avg,0.6,3,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized,"0.1333,0.1333,0.1333",0.4,0.40966532796465044,0.2415987415987416,0.6240883740883741,6.145752895752896,0.0007053279646504484,-0.00012467203534954896,B_aggressive
A_n2_v6=0.70,query_z,0.7,2,cb_rank_C_deeper+cb_rank_A,"0.1500,0.1500",0.30000000000000004,0.4096634043440993,0.24195624195624196,0.6241241241241241,6.161876161876162,0.0007034043440993232,-0.00012659565590067423,A_conservative
C_equal_v6=0.725,blend_rank_global_z,0.725,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0688,0.0688,0.0688,0.0688",0.275,0.4096631677899215,0.24074074074074073,0.6248391248391248,6.162269412269413,0.0007031677899215216,-0.00012683221007847578,C_fine_equal
C_equal_v6=0.775,rank_avg,0.775,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0562,0.0562,0.0562,0.0562",0.22499999999999998,0.4096566375500661,0.2414914914914915,0.6241598741598742,6.154225654225654,0.0006966375500661037,-0.00013336244993389368,C_fine_equal
A_n2_v6=0.70,rank_avg,0.7,2,cb_rank_C_deeper+cb_rank_A,"0.1500,0.1500",0.30000000000000004,0.40965452571533206,0.24134849134849135,0.6241956241956242,6.161375661375661,0.0006945257153320727,-0.00013547428466792466,A_conservative
B_n4_v6=0.50,rank_avg,0.5,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1250,0.1250,0.1250,0.1250",0.5,0.40965179065926954,0.24113399113399114,0.6243386243386243,6.138674388674389,0.0006917906592695533,-0.0001382093407304441,B_aggressive
A_n4_v6=0.65,rank_avg,0.65,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0875,0.0875,0.0875,0.0875",0.35,0.4096480136010648,0.24066924066924067,0.6243386243386243,6.145037895037895,0.0006880136010647964,-0.00014198639893520104,A_conservative
C_equal_v6=0.650,rank_avg,0.65,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0875,0.0875,0.0875,0.0875",0.35,0.4096480136010648,0.24066924066924067,0.6243386243386243,6.145037895037895,0.0006880136010647964,-0.00014198639893520104,C_fine_equal
B_CB_skew2.0_v6=0.50,rank_avg,0.5,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1667,0.1667,0.0833,0.0833",0.5,0.40964574333145365,0.24106249106249106,0.6246603746603746,6.141963391963392,0.0006857433314536587,-0.00014425666854633867,B_aggressive_cb_skew
A_n5_v6=0.70,global_z,0.7,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0600,0.0600,0.0600,0.0600,0.0600",0.30000000000000004,0.4096435529834751,0.2407049907049907,0.6255183755183755,6.1591591591591595,0.0006835529834751108,-0.00014644701652488656,A_conservative
C_cb_skew1.5_v6=0.750,rank_avg,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0500,0.0500",0.25,0.40963960244765407,0.24134849134849135,0.6241598741598742,6.153153153153153,0.0006796024476540818,-0.00015039755234591556,C_fine_cb_skew
A_n5_v6=0.80,global_z,0.8,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0400,0.0400,0.0400,0.0400,0.0400",0.19999999999999996,0.4096185298734504,0.2405977405977406,0.625053625053625,6.165772915772916,0.0006585298734503864,-0.00017147012654961102,A_conservative
A_n4_v6=0.75,blend_rank_query_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0625,0.0625,0.0625,0.0625",0.25,0.40961547258656966,0.24116974116974116,0.6243028743028743,6.1616259116259116,0.000655472586569672,-0.0001745274134303254,A_conservative
C_equal_v6=0.750,blend_rank_query_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0625,0.0625,0.0625,0.0625",0.25,0.40961547258656966,0.24116974116974116,0.6243028743028743,6.1616259116259116,0.000655472586569672,-0.0001745274134303254,C_fine_equal
C_equal_v6=0.700,global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0750,0.0750",0.30000000000000004,0.4096145956335767,0.24088374088374087,0.6251608751608752,6.161053911053911,0.0006545956335767267,-0.00017540436642327073,C_fine_equal
A_n4_v6=0.70,global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0750,0.0750",0.30000000000000004,0.4096145956335767,0.24088374088374087,0.6251608751608752,6.161053911053911,0.0006545956335767267,-0.00017540436642327073,A_conservative
C_xen_skew1.5_v6=0.700,blend_rank_global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0900,0.0900",0.30000000000000004,0.40961195690024343,0.24074074074074073,0.6246603746603746,6.158122408122408,0.0006519569002434444,-0.00017804309975655297,C_fine_xen_skew
B_XEN_skew1.5_v6=0.70,blend_rank_global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0900,0.0900",0.30000000000000004,0.40961195690024343,0.24074074074074073,0.6246603746603746,6.158122408122408,0.0006519569002434444,-0.00017804309975655297,B_aggressive_xen_skew
C_cb_skew1.5_v6=0.800,rank_avg,0.8,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0400,0.0400",0.19999999999999996,0.4096112203264239,0.24156299156299157,0.6241241241241241,6.158229658229658,0.0006512203264238958,-0.00017877967357610158,C_fine_cb_skew
B_XEN_skew2.0_v6=0.50,blend_rank_global_z,0.5,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0833,0.0833,0.1667,0.1667",0.5,0.40961077363347587,0.24077649077649077,0.6253753753753754,6.142964392964393,0.0006507736334758762,-0.00017922636652412116,B_aggressive_xen_skew
A_n5_v6=0.65,blend_rank_query_z,0.65,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0700,0.0700,0.0700,0.0700,0.0700",0.35,0.4096105869288709,0.24052624052624053,0.6243028743028743,6.152759902759903,0.0006505869288709332,-0.00017941307112906424,A_conservative
A_n5_v6=0.85,query_z,0.85,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0300,0.0300,0.0300,0.0300,0.0300",0.15000000000000002,0.40960798857214414,0.24074074074074073,0.6244816244816245,6.167631917631917,0.0006479885721441536,-0.0001820114278558438,A_conservative
A_n5_v6=0.75,query_z,0.75,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0500,0.0500,0.0500,0.0500,0.0500",0.25,0.4096048937917662,0.24045474045474047,0.6246246246246246,6.160910910910911,0.0006448937917661879,-0.00018510620823380952,A_conservative
A_n4_v6=0.75,query_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0625,0.0625,0.0625,0.0625",0.25,0.40960314744062293,0.24056199056199057,0.6248748748748749,6.161232661232662,0.0006431474406229376,-0.0001868525593770598,A_conservative
C_equal_v6=0.750,query_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0625,0.0625,0.0625,0.0625",0.25,0.40960314744062293,0.24056199056199057,0.6248748748748749,6.161232661232662,0.0006431474406229376,-0.0001868525593770598,C_fine_equal
B_CB_skew2.0_v6=0.70,blend_rank_global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1000,0.1000,0.0500,0.0500",0.30000000000000004,0.40960185626708184,0.24091949091949091,0.6247676247676248,6.16066066066066,0.0006418562670818528,-0.00018814373291814457,B_aggressive_cb_skew
