ensemble_id,exp_id,date,member_ids,n_members,weighting,agg_method,local_ndcg5,kaggle_ndcg5,notes,method,members,weights,ndcg5,recall1,recall5,mean_booked_rank,beats_v4,n_queries,n_booked,note
W1_random_subset_014,,,,10,,,,,,WILDCARD_random_subset,"A13,B7,B9,C11,C9,D4,E3,E4,E7,I1",,0.42564255982089905,0.2555458260361938,0.6447752481027437,5.897402218330415,YES,19979.0,13704.0,"WILDCARD W1 trial 154, k=10"
W1_random_subset_015,,,,10,,,,,,WILDCARD_random_subset,"A1,A13,A2,A5,A6,B3,E10,E3,E7,F2",,0.4256388599646251,0.25605662580268534,0.6468184471687098,5.904188558085231,YES,19979.0,13704.0,"WILDCARD W1 trial 301, k=10"
W1_random_subset_016,,,,6,,,,,,WILDCARD_random_subset,"A6,B3,B9,E3,I3,I6",,0.42558816335341276,0.25678633975481613,0.6464535901926445,5.904334500875657,YES,19979.0,13704.0,"WILDCARD W1 trial 309, k=6"
W1_random_subset_017,,,,6,,,,,,WILDCARD_random_subset,"A11,A2,B10,B3,C6,F2",,0.4255565105211576,0.2561295971978984,0.646015761821366,5.908566841798015,YES,19979.0,13704.0,"WILDCARD W1 trial 185, k=6"
W1_random_subset_018,,,,7,,,,,,WILDCARD_random_subset,"A11,A6,B7,D4,E1,E4,E6",,0.4255392484350683,0.256713368359603,0.6453590192644484,5.908566841798015,YES,19979.0,13704.0,"WILDCARD W1 trial 25, k=7"
W1_random_subset_019,,,,6,,,,,,WILDCARD_random_subset,"B1,B9,E4,E6,F1,F13",,0.4255381959981364,0.25488908347927614,0.646891418563923,5.920899007589025,YES,19979.0,13704.0,"WILDCARD W1 trial 180, k=6"
W2_random_weights_000,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.4159,0.0738,0.0375,0.1176,0.1670,0.0052,0.0654,0.0063,0.0093,0.1018",0.4262075345594431,0.25766199649737304,0.6438995913601868,5.918272037361354,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 211"
W2_random_weights_001,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3362,0.0738,0.0376,0.2417,0.0233,0.1663,0.0188,0.0873,0.0020,0.0130",0.4261989197675585,0.2580268534734384,0.6451401050788091,5.914769410391127,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 239"
W2_random_weights_002,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.2385,0.1470,0.0823,0.1578,0.0713,0.1326,0.0138,0.1191,0.0192,0.0185",0.42616048400667383,0.2581727962638646,0.6445563339171045,5.907837127845885,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 244"
W2_random_weights_003,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.2546,0.0757,0.0889,0.0605,0.1400,0.1015,0.0388,0.1405,0.0834,0.0160",0.42611075951623817,0.25722416812609455,0.6451401050788091,5.907764156450671,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 57"
