config_name,label_gain,seed,num_leaves,learning_rate,best_iter_random,n_features,n_features_reported,random_ndcg5,temporal_ndcg5,temporal_recall1,temporal_recall5,temporal_mbr,delta_temporal_vs_anchor,delta_temporal_vs_random
H2,"0,2,15",456,400,0.03,-1,143,143,0.4212385081025689,0.5030126504441123,0.3383025883025883,0.7428499928499929,4.477298727298727,0.09900265044411227,0.08177414234154334
F13,"0,3,15",456,400,0.03,500,143,143,0.4225321567469929,0.5021868667030126,0.3390890890890891,0.7422064922064922,4.454382954382955,0.09817686670301262,0.0796547099560197
C8,"0,3,15",789,400,0.03,479,143,143,0.4211012295346639,0.5007718428737891,0.33715858715858715,0.7384884884884885,4.478371228371229,0.09676184287378908,0.07967061333912517
D10,"0,2,15",456,400,0.03,486,138,138,0.4205621625224238,0.500654273725655,0.33715858715858715,0.7389532389532389,4.4892392392392395,0.09664427372565498,0.08009211120323118
A7,"0,3,18",456,400,0.03,480,143,143,0.4208655315231677,0.49938176206911594,0.33472758472758474,0.7375947375947376,4.5036107536107535,0.09537176206911596,0.07851623054594825
D1,"0,2,15",456,400,0.03,476,142,142,0.4192809455122522,0.4983322118537137,0.33748033748033746,0.7356642356642357,4.561239811239811,0.0943222118537137,0.07905126634146148
F14,"0,2,15",456,400,0.03,476,142,142,0.4192809455122522,0.4983322118537137,0.33748033748033746,0.7356642356642357,4.561239811239811,0.0943222118537137,0.07905126634146148
D2,"0,2,15",456,400,0.03,476,142,142,0.4192809455122522,0.4983322118537137,0.33748033748033746,0.7356642356642357,4.561239811239811,0.0943222118537137,0.07905126634146148
D7,"0,2,15",456,400,0.03,486,101,101,0.420069131859239,0.4982816647895584,0.33444158444158445,0.7364507364507364,4.50997425997426,0.0942716647895584,0.07821253293031938
B10,"0,2,20",456,400,0.03,358,143,143,0.421976654275635,0.49759192080824227,0.33394108394108396,0.703989703989704,5.07965107965108,0.09358192080824229,0.07561526653260725
B7,"0,3,15",456,400,0.03,359,143,143,0.4211130638933019,0.49746435738393296,0.3342985842985843,0.7026669526669527,5.103639353639354,0.09345435738393298,0.07635129349063108
B1,"0,2,15",456,400,0.03,363,143,143,0.4211999717030242,0.4970459787721163,0.3319033319033319,0.7027742027742028,5.090304590304591,0.09303597877211633,0.07584600706909211
B9,"0,3,15",456,400,0.03,435,143,143,0.4216841659483639,0.4962939520637408,0.32671957671957674,0.7262977262977263,4.648362648362649,0.09228395206374079,0.07460978611537689
C11,"0,2,20",123,400,0.03,465,143,143,0.4212082986421953,0.49588741525471836,0.33125983125983127,0.7347347347347347,4.534248534248534,0.09187741525471838,0.07467911661252308
A9,"0,4,15",456,400,0.03,454,143,143,0.4208497216564492,0.495817693685486,0.33186758186758186,0.7328042328042328,4.556949806949807,0.09180769368548602,0.07496797202903682
F10,"0,2,15",456,400,0.03,465,136,136,0.4202534097836601,0.4955500908368437,0.3306878306878307,0.7334834834834835,4.552052052052052,0.09154009083684372,0.0752966810531836
