test_id,phase,n_members,members_added,weights_added,v6_weight,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+xendcg_reg_seed789@w=0.075,1_single,2,xendcg_reg_seed789,0.0750,0.925,0.075,0.40900052578678897,0.2402044902044902,0.6239811239811239,6.171635921635922,4.052578678898078e-05,0.004990525786788991
v6+struct_DS_regularized@w=0.030,1_single,2,struct_DS_regularized,0.0300,0.97,0.03,0.40899937901467964,0.23984698984698985,0.624016874016874,6.17975117975118,3.9379014679652435e-05,0.004989379014679662
v6+xendcg_reg_seed2024@w=0.050,1_single,2,xendcg_reg_seed2024,0.0500,0.95,0.05,0.40899693139671583,0.24045474045474047,0.6240883740883741,6.176533676533676,3.6931396715844667e-05,0.004986931396715855
v6+struct_DS_regularized@w=0.150,1_single,2,struct_DS_regularized,0.1500,0.85,0.15,0.40899448948922523,0.23995423995423995,0.6235521235521235,6.17942942942943,3.448948922524231e-05,0.004984489489225252
v6+struct_CP_regularized@w=0.030,1_single,2,struct_CP_regularized,0.0300,0.97,0.03,0.4089940208263859,0.24049049049049048,0.6237308737308738,6.181002431002431,3.402082638592763e-05,0.004984020826385938
v6+cp_reg_seed456@w=0.075,1_single,2,cp_reg_seed456,0.0750,0.925,0.075,0.4089936491507483,0.24041899041899042,0.6236951236951237,6.177320177320177,3.3649150748327195e-05,0.004983649150748337
v6+ds_reg_seed456@w=0.050,1_single,2,ds_reg_seed456,0.0500,0.95,0.05,0.408990028519871,0.24034749034749034,0.6239096239096239,6.17996567996568,3.0028519870994863e-05,0.004980028519871005
v6+ds_reg_seed456@w=0.100,1_single,2,ds_reg_seed456,0.1000,0.9,0.1,0.4089890385597569,0.24056199056199057,0.6236593736593736,6.179000429000429,2.9038559756888738e-05,0.004979038559756899
v6+ds_reg_seed456@w=0.075,1_single,2,ds_reg_seed456,0.0750,0.925,0.075,0.40898457251647147,0.24034749034749034,0.6237666237666237,6.18068068068068,2.457251647147718e-05,0.004974572516471487
v6+xendcg_reg_seed2024@w=0.100,1_single,2,xendcg_reg_seed2024,0.1000,0.9,0.1,0.40897129810415395,0.24077649077649077,0.6241241241241241,6.16981266981267,1.1298104153956157e-05,0.004961298104153966
v6+xendcg_reg_seed456@w=0.075,1_single,2,xendcg_reg_seed456,0.0750,0.925,0.075,0.40896990201974726,0.24016874016874018,0.6237308737308738,6.173494923494924,9.902019747265456e-06,0.004959902019747275
v6+reg_bal15_seed123@w=0.150,1_single,2,reg_bal15_seed123,0.1500,0.85,0.15,0.4089656051083624,0.23995423995423995,0.6245173745173745,6.177892177892178,5.605108362394251e-06,0.004955605108362404
v6_loo9_baseline,baseline,1,,,1.0,0.0,0.4089632047378948,0.24013299013299014,0.6238738738738738,6.181824681824682,3.204737894835219e-06,0.004953204737894845
v6+XEN_SEED_AVG@0.05+CP_REG_SEED_AVG@0.075+DS_REG_SEED_AVG@0.05,6_seed_avg_triple,4,XEN_SEED_AVG+CP_REG_SEED_AVG+DS_REG_SEED_AVG,"0.0500,0.0750,0.0500",0.825,0.175,0.4089611295846825,0.2402044902044902,0.6239096239096239,6.1713141713141715,1.1295846825132294e-06,0.004951129584682523
v6+ds_reg_seed123@w=0.075,1_single,2,ds_reg_seed123,0.0750,0.925,0.075,0.408960407419545,0.2400972400972401,0.624016874016874,6.178964678964679,4.074195449899065e-07,0.004950407419545
v6+xendcg_reg_seed123@w=0.030,1_single,2,xendcg_reg_seed123,0.0300,0.97,0.03,0.4089578972335247,0.2402044902044902,0.6238023738023738,6.178035178035178,-2.1027664752759634e-06,0.004947897233524734
v6+cp_reg_seed456@w=0.100,1_single,2,cp_reg_seed456,0.1000,0.9,0.1,0.4089523817356654,0.24056199056199057,0.6241241241241241,6.177320177320177,-7.6182643345967804e-06,0.004942381735665413
v6+ds_reg_seed42@w=0.050,1_single,2,ds_reg_seed42,0.0500,0.95,0.05,0.40894602230128624,0.24031174031174032,0.6234448734448734,6.18014443014443,-1.3977698713751874e-05,0.004936022301286258
v6+struct_DS_regularized@w=0.050,1_single,2,struct_DS_regularized,0.0500,0.95,0.05,0.4089429168135226,0.2397039897039897,0.6238738738738738,6.17967967967968,-1.708318647741791e-05,0.004932916813522592
v6+pool_xendcg_conservative+struct_rank_xendcg_regularized+xendcg_reg_seed42@0.075each,7_pool_n3,4,xendcg_conservative+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0750",0.775,0.22499999999999998,0.4089393543416189,0.24006149006149005,0.6233018733018733,6.151794651794652,-2.0645658381113208e-05,0.004929354341618897
v6+xendcg_reg_seed456@w=0.100,1_single,2,xendcg_reg_seed456,0.1000,0.9,0.1,0.4089333952331758,0.2398112398112398,0.6242313742313742,6.16981266981267,-2.6604766824200876e-05,0.004923395233175809
v6+struct_CP_regularized@w=0.150,1_single,2,struct_CP_regularized,0.1500,0.85,0.15,0.4089308968188541,0.24074074074074073,0.6239096239096239,6.177069927069927,-2.9103181145906376e-05,0.004920896818854104
v6+cp_reg_seed42@w=0.100,1_single,2,cp_reg_seed42,0.1000,0.9,0.1,0.40892985976888074,0.24034749034749034,0.6236951236951237,6.179250679250679,-3.0140231119246685e-05,0.004919859768880763
v6+ds_reg_seed42@w=0.030,1_single,2,ds_reg_seed42,0.0300,0.97,0.03,0.4089281930862801,0.24013299013299014,0.6236593736593736,6.18043043043043,-3.180691371990063e-05,0.004918193086280109
v6+ds_reg_seed42@w=0.075,1_single,2,ds_reg_seed42,0.0750,0.925,0.075,0.4089218927451638,0.24034749034749034,0.6236236236236237,6.178571428571429,-3.810725483621713e-05,0.004911892745163793
v6+ds_reg_seed123@w=0.100,1_single,2,ds_reg_seed123,0.1000,0.9,0.1,0.40892053569480674,0.24024024024024024,0.6242313742313742,6.179071929071929,-3.946430519324862e-05,0.004910535694806761
v6+xendcg_reg_seed42@w=0.100,1_single,2,xendcg_reg_seed42,0.1000,0.9,0.1,0.4089113566932847,0.24052624052624053,0.6240883740883741,6.168418418418418,-4.8643306715279166e-05,0.004901356693284731
v6+cb_booking_clf@w=0.030,1_single,2,cb_booking_clf,0.0300,0.97,0.03,0.4089082338096234,0.24016874016874018,0.6238023738023738,6.184434434434435,-5.176619037661201e-05,0.004898233809623398
v6+reg_bal15_seed42@w=0.030,1_single,2,reg_bal15_seed42,0.0300,0.97,0.03,0.4089038285721019,0.24016874016874018,0.6238023738023738,6.180859430859431,-5.617142789809959e-05,0.00489382857210191
v6+struct_CP_regularized@w=0.200,1_single,2,struct_CP_regularized,0.2000,0.8,0.2,0.40889969508846835,0.24106249106249106,0.6236951236951237,6.176533676533676,-6.030491153163897e-05,0.004889695088468371
v6+xendcg_reg_seed42@w=0.200,1_single,2,xendcg_reg_seed42,0.2000,0.8,0.2,0.40889338286171234,0.23995423995423995,0.6246246246246246,6.157586157586158,-6.661713828765015e-05,0.00488338286171236
v6+cp_reg_seed123@w=0.030,1_single,2,cp_reg_seed123,0.0300,0.97,0.03,0.40888880171933,0.2398827398827399,0.6234091234091234,6.182968682968683,-7.11982806699818e-05,0.004878801719330028
v6+ds_reg_seed456@w=0.150,1_single,2,ds_reg_seed456,0.1500,0.85,0.15,0.40888645520075256,0.24045474045474047,0.6233733733733734,6.177641927641927,-7.354479924742696e-05,0.004876455200752583
v6+struct_DS_regularized@w=0.075,1_single,2,struct_DS_regularized,0.0750,0.925,0.075,0.40887440665035707,0.23952523952523952,0.6238381238381239,6.178964678964679,-8.559334964292065e-05,0.004864406650357089
v6+ds_reg_seed42@w=0.100,1_single,2,ds_reg_seed42,0.1000,0.9,0.1,0.4088743845314059,0.24016874016874018,0.6238381238381239,6.179643929643929,-8.56154685940913e-05,0.004864384531405919
v6+reg_bal15_seed42@w=0.050,1_single,2,reg_bal15_seed42,0.0500,0.95,0.05,0.4088661116405383,0.24013299013299014,0.6238381238381239,6.1823609323609325,-9.388835946166907e-05,0.004856111640538341
v6+reg_bal15_seed42@w=0.075,1_single,2,reg_bal15_seed42,0.0750,0.925,0.075,0.4088628462974656,0.24024024024024024,0.6236593736593736,6.182217932217932,-9.715370253438049e-05,0.0048528462974656295
v6+cp_reg_seed42@w=0.200,1_single,2,cp_reg_seed42,0.2000,0.8,0.2,0.40885921584132096,0.23977548977548976,0.6236593736593736,6.179000429000429,-0.00010078415867903479,0.004849215841320975
v6+struct_rank_xendcg_regularized@w=0.200,1_single,2,struct_rank_xendcg_regularized,0.2000,0.8,0.2,0.4088567678035414,0.2400972400972401,0.6232661232661233,6.157979407979408,-0.00010323219645858028,0.00484676780354143
v6+cp_reg_seed123@w=0.050,1_single,2,cp_reg_seed123,0.0500,0.95,0.05,0.40885409670156575,0.24002574002574004,0.6234091234091234,6.182718432718433,-0.00010590329843424007,0.00484409670156577
v6+xendcg_reg_seed2024@w=0.150,1_single,2,xendcg_reg_seed2024,0.1500,0.85,0.15,0.4088368515019175,0.24091949091949091,0.6232303732303732,6.169276419276419,-0.00012314849808248152,0.004826851501917528
v6+reg_bal15_seed456@w=0.050,1_single,2,reg_bal15_seed456,0.0500,0.95,0.05,0.408836322873168,0.2399184899184899,0.6238023738023738,6.180966680966681,-0.00012367712683197807,0.004826322873168032
v6+cb_rank_B_regularized@w=0.100,1_single,2,cb_rank_B_regularized,0.1000,0.9,0.1,0.4088136365225856,0.24016874016874018,0.6236593736593736,6.165486915486915,-0.0001463634774143685,0.0048036365225856414
v6+cb_booking_clf@w=0.050,1_single,2,cb_booking_clf,0.0500,0.95,0.05,0.4088129528503086,0.24016874016874018,0.6239811239811239,6.184148434148434,-0.00014704714969138166,0.004802952850308628
v6+struct_DS_regularized@w=0.200,1_single,2,struct_DS_regularized,0.2000,0.8,0.2,0.40878114613578265,0.23998998998999,0.6234448734448734,6.1774274274274275,-0.00017885386421734317,0.004771146135782667
v6+reg_bal15_seed456@w=0.030,1_single,2,reg_bal15_seed456,0.0300,0.97,0.03,0.4087777599430341,0.23995423995423995,0.6234806234806235,6.181538681538681,-0.00018224005696587664,0.004767759943034133
