feature,adv_gain,adv_split,feature_group,ranker_gain,adv_share,ranker_share
value_gap,0.0,0,listwise_within_query,100394,0.0,0.005197286605760905
location_total_rank,0.0,0,listwise_within_query,57225,0.0,0.00296247510822029
is_best_star,0.0,0,listwise_within_query,919,0.0,4.757561597998159e-05
is_most_expensive,0.0,0,listwise_within_query,45,0.0,2.3296003472243432e-06
is_cheapest,0.0,0,listwise_within_query,253,0.0,1.3097530841061307e-05
price_to_min_ratio,0.0,0,listwise_within_query,124966,0.0,0.006469351933138606
log_price_z_score,0.0,0,listwise_within_query,181823,0.0,0.009412776087408262
prop_rel_rate,0.0,0,hotel_agg_TE_single,341395,0.0,0.017673642456458992
is_overpriced,0.0,0,interaction,11156,0.0,0.0005775338105252172
total_guests,0.0,0,interaction,20637,0.0,0.0010683547192370838
prop_dest_book_rate,0.0,0,hotel_agg_TE_cross,829144,0.0,0.04292387000664402
is_discounted,0.0,0,interaction,4560,0.0,0.00023606616851873345
prop_book_rate,0.0,0,hotel_agg_TE_single,143262,0.0,0.00741651566542342
prop_book_given_click,0.0,0,hotel_agg_TE_book_given_click,129315,0.0,0.0066944948644736876
prop_click_count,0.0,0,hotel_agg_TE_count,162104,0.0,0.008391945215254555
prop_price_zscore,0.0,0,hotel_agg_price_stat,582003,0.0,0.03012965313079132
star_vs_dest_mean,0.0,0,listwise_within_query,101392,0.0,0.00524895196457268
review_vs_dest_mean,0.0,0,listwise_within_query,135471,0.0,0.007013184191973978
